Date, Time, Latitude, Longitude, Altitude,Colony,Species,Year,Birdring,BirdID
27/06/2016, 06:13:00,51.73841,-5.275568,NA,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 06:41:34,51.738174,-5.272526,2.31,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:02:19,51.762402,-5.284627,7.37,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:04:26,51.759991,-5.291509,-8.22,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:06:33,51.764473,-5.292911,18.71,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:08:40,51.769028,-5.295033,11.08,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:10:47,51.771935,-5.293702,3.48,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:12:54,51.777496,-5.300206,8.66,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:15:00,51.784023,-5.307502,9.82,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:17:07,51.790001,-5.315044,14.62,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:19:14,51.797024,-5.321991,11.71,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:21:21,51.804096,-5.329632,9.08,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:23:28,51.810162,-5.339488,18.12,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:25:35,51.815704,-5.349685,9.35,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:27:42,51.817142,-5.362803,25.51,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:29:49,51.816219,-5.37416,18.75,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:31:56,51.818611,-5.378962,27.93,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:34:03,51.825642,-5.381365,19.51,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:36:10,51.831158,-5.387804,17.03,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:38:17,51.836483,-5.394337,22.43,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:40:26,51.841927,-5.39938,16.51,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:42:35,51.843796,-5.402595,17.57,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:44:42,51.847816,-5.405212,21.64,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:46:52,51.852833,-5.408498,22.4,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:48:59,51.853966,-5.407794,24.96,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:51:08,51.855778,-5.410511,6.92,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:53:37,51.855209,-5.412601,12.75,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:56:07,51.854958,-5.413943,11.92,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 07:58:32,51.85503,-5.414628,7.44,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 08:01:12,51.856949,-5.412102,12.34,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 08:04:09,51.855915,-5.408751,19.26,Skomer,Kittiwake,2016,EJ99608,2016003
27/06/2016, 08:07:21,51.856995,-5.407323,11.73,Skomer,Kittiwake,2016,EJ99608,2016003
